Title,Directions,Quantity,Unit01,Ingredient01,Quantity02,Unit02,Ingredient02,Quantity03,Unit03,Ingredient03,Quantity04,Unit04,Ingredient04,Quantity05,Unit05,Ingredient05,Quantity06,Unit06,Ingredient06,Quantity07,Unit07,Ingredient07,Quantity08,Unit08,Ingredient08,Quantity09,Unit09,Ingredient09,Quantity10,Unit10,Ingredient10,Quantity11,Unit11,Ingredient11,Quantity12,Unit12,Ingredient12,Quantity13,Unit13,Ingredient13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Ingredient15,Quantity16,Unit16,Ingredient16,Quantity17,Unit17,Ingredient17,Quantity18,Unit18,Ingredient18,Quantity19,Unit19,Ingredient19,Category,ingredients,tokenized_ingr,ingr_json
Sole Almondie,"Cut fillets into 4 serving pieces and pat dry. Mix flour, sald t and pepper. Dp fish into milk and then coat with 4 mixture. Heat oil and margarine in large skillet over medium heat until hot. Cook fillets, 6-8 minutes until golden brown, turn once during cooking. Remove fish, keep warm. Drain oil from skillet. Add lemon juice, wine and almonds. Boil for 30 seconds and pour over fish.",1,pound,sole filets, 1/2,cup,flour, 1/2,tsp,salt, 1/4,tsp,white pepper, 1/4,cup,milk,4,tbsp,vegetable oil,1,tbsp,margarine,2,tbsp,lemon juice,1,tbsp,"almonds, sliced thin",nan,splash,white wine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"sole filets;flour;salt;white pepper;milk;vegetable oil;margarine;lemon juice;almonds, sliced thin;white wine;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sole', 'filets', ';', 'flour', ';', 'salt', ';', 'white', 'pepper', ';', 'milk', ';', 'vegetable', 'oil', ';', 'margarine', ';', 'lemon', 'juice', ';', 'almonds', ',', 'sliced', 'thin', ';', 'white', 'wine', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['milk', 'flour']"
Hot Crab Dip,Stir together all ingredients and top with cheddar cheese. Bake for 15-20 minutes. Serve with crackers.,2,pkg,cream cheese,3 to 4,tbsp,mayonaise,4,tsp,worchester,2,cans,crab meat,nan,nan,garlic,nan,nan,cheddar cheese,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,cream cheese;mayonaise;worchester;crab meat;garlic;cheddar cheese;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['cream', 'cheese', ';', 'mayonaise', ';', 'worchester', ';', 'crab', 'meat', ';', 'garlic', ';', 'cheddar', 'cheese', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Shrimp Saute,"In a skillet, melt butter over medium heat. Add shrimp, mushrooms, green pepper and garlic. Saute until shrimp turn pink, about 3-5 minutes. Meanwhile, cook pasta according to package directions; drain and place on a large serving platter. Top with shrimp mixture. Sprinkle with cheese, salt, pepper and parsley. Toss well; garnish with lemon. Serve immediately.", 1/4,cup,butter or margarine,1,pound,"raw shrimp, peeled and deveined", 1/2,pound,"fresh mushrooms, sliced", 1/2,small,"green pepper, chopped",1,clove,"cloves, minced",3,ounces,linguini or spaghetti,8,cup,grated Romano cheese, 1/2,tsp,salt, 1/2,tsp,pepper, 1/4,nan,"fresh parsely, chopped",nan,nan,lemon slices,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"butter or margarine;raw shrimp, peeled and deveined;fresh mushrooms, sliced;green pepper, chopped;cloves, minced;linguini or spaghetti;grated Romano cheese;salt;pepper;fresh parsely, chopped;lemon slices;nan;nan;nan;nan;nan;nan;nan;nan","['butter', 'or', 'margarine', ';', 'raw', 'shrimp', ',', 'peeled', 'and', 'deveined', ';', 'fresh', 'mushrooms', ',', 'sliced', ';', 'green', 'pepper', ',', 'chopped', ';', 'cloves', ',', 'minced', ';', 'linguini', 'or', 'spaghetti', ';', 'grated', 'Romano', 'cheese', ';', 'salt', ';', 'pepper', ';', 'fresh', 'parsely', ',', 'chopped', ';', 'lemon', 'slices', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Sitr-Fry Beef and Broccoli,"Cut flank steak across the grain into thin slices. Mix the soy sauce, dry sherry, cornstarch, ginger and garlic ad pour over the beef, tossing to mix well. Cut the broccoli into florets about 2 inches long; slice the stalks into .5 inch pieces. Heat 1 tbsp of the oil in a large, non-stick skillet or wok until hot. Add the beef and stir-fry over high heat until seared, about 2 minutes. Remove beef to a plate. Heat remaining oil in the skillet and add the broccoli and onion. Cook, stirring constantly, for 2 minutes. Add the 2 tablespoons of water or stock, cover the pan, reduce the heat and simmer for 3 to 5 minutes, or until the broccoli is crisp-tender. Stir in the beef and bean sprouts. Toss and stir until heated through.",1 1/4,pounds,flank steak,3,tbsp,soy sauce,1,tbsp,dry sherry,2,tsp,cornstarch,1,tsp,"fresh ginger, grated",1,clove,"garlic, finely chopped", 3/4,pounds,broccoli,2,tbsp,vegetable oil,1,medium,"onion, cut in thin wedges",2,tbsp,water or chicken stock,1,cup,bean sprouts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"flank steak;soy sauce;dry sherry;cornstarch;fresh ginger, grated;garlic, finely chopped;broccoli;vegetable oil;onion, cut in thin wedges;water or chicken stock;bean sprouts;nan;nan;nan;nan;nan;nan;nan;nan","['flank', 'steak', ';', 'soy', 'sauce', ';', 'dry', 'sherry', ';', 'cornstarch', ';', 'fresh', 'ginger', ',', 'grated', ';', 'garlic', ',', 'finely', 'chopped', ';', 'broccoli', ';', 'vegetable', 'oil', ';', 'onion', ',', 'cut', 'in', 'thin', 'wedges', ';', 'water', 'or', 'chicken', 'stock', ';', 'bean', 'sprouts', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Barbecued Spareribs,"Baste over ribs while browning until done. If sauce is too thin, thicken with 1 or 2 tablespoons of flour.",1,tsp,salt, 1/8,tsp,pepper,1,tsp,chili powder,1,tsp,celery salt, 1/4,cup,vinegar, 1/4,cup,worchestershire sauce,3,cloves,"garlic, chopped",1,nan,"lemon, sliced thinly", 1/2,cup,"onion, chopped",1,cup,catsup,1,cup,hot water, 1/2,cup,brown sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"salt;pepper;chili powder;celery salt;vinegar;worchestershire sauce;garlic, chopped;lemon, sliced thinly;onion, chopped;catsup;hot water;brown sugar;nan;nan;nan;nan;nan;nan;nan","['salt', ';', 'pepper', ';', 'chili', 'powder', ';', 'celery', 'salt', ';', 'vinegar', ';', 'worchestershire', 'sauce', ';', 'garlic', ',', 'chopped', ';', 'lemon', ',', 'sliced', 'thinly', ';', 'onion', ',', 'chopped', ';', 'catsup', ';', 'hot', 'water', ';', 'brown', 'sugar', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Sweet and Sour Pork,"Cut pork tenderloin into chunks. Combine salt, soy sauce, cornstarch and cold water. Marinade pork for 30 minutes. Drain pork and dip a few pieces at a time in a batter made from chicken coating mix, water and egg yolk. Brown pork in hot oil in wok about 3 minutes or until brown. Remove with slotted spoon. Stir in green pepper carrot and onion. Combine catsup, brown sugar, granulated sugar, cinnamon, ginger, lemon and pineapple. Cook until sauce thickens. Add pork mixture and serve over rice.",1,pound,pork 10derloin, 1/2,tsp,salt,1 1/2,tsp,soy sauce,1,tbsp,cornstarch,1,tbsp,cold water, 1/2,cup,chicken coasting mix, 1/2,cup,ice water,1,nan,egg yolk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,pork 10derloin;salt;soy sauce;cornstarch;cold water;chicken coasting mix;ice water;egg yolk;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['pork', '10derloin', ';', 'salt', ';', 'soy', 'sauce', ';', 'cornstarch', ';', 'cold', 'water', ';', 'chicken', 'coasting', 'mix', ';', 'ice', 'water', ';', 'egg', 'yolk', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Beef Scallops with Fresh Tomato Sauce,"Pound steak to 1/8 inch thick. remove skins from blanched tomatoes. Chop 3 of them and slice the other 2. Set aside. Cook steak in oil on medium high until browned. Remove and keep warm. Add chopped tomatoes to skillet, with green onions. Add sugar, salt, and basil. Stir in cornstarch. Add sliced tomatoes and heat. Gently spoon over meat.",2,pound,beef round steak,5,nan,"tomatoes, blanched",2,tbsp,"green onions, chopped",1,tbsp,sugar,1 1/2,tsp,salt,1,tsp,basil,1,tbsp,cornstarch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"beef round steak;tomatoes, blanched;green onions, chopped;sugar;salt;basil;cornstarch;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['beef', 'round', 'steak', ';', 'tomatoes', ',', 'blanched', ';', 'green', 'onions', ',', 'chopped', ';', 'sugar', ';', 'salt', ';', 'basil', ';', 'cornstarch', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Veal Scallopini,"Cut meat into 2 inch pieces and coat in flour. Brown in oil. Add mushrooms, salt, pepper, and wine. Pour over meat in a casserole. Cook in covered casserole for 1 hour at 375 degrees or a heavy covered skillet at low heat for 45 minutes.",2,pounds,"veal steak, sliced thinly", 1/2,cup,flour,4,tbsp,oil,1,can,sliced mushrooms,2,cups,sauterne wine, 1/4,cup,onion,nan,nan,salt and pepper,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"veal steak, sliced thinly;flour;oil;sliced mushrooms;sauterne wine;onion;salt and pepper;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['veal', 'steak', ',', 'sliced', 'thinly', ';', 'flour', ';', 'oil', ';', 'sliced', 'mushrooms', ';', 'sauterne', 'wine', ';', 'onion', ';', 'salt', 'and', 'pepper', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['flour']
Savory Goulash,Brown onion and meat. Add tomato sauce and water. Cook for 2 hours and serve over hot noodles.,2,nan,sliced onions,3,tbsp,wesson oil,1 1/2,pounds,"steak, cubed",3,tsp,paprika,1 1/2,tsp,salt,1,cup,hot water,8,ounces,tomato sauce,4,tbsp,sour cream,nan,nan,hot buttered noodles,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"sliced onions;wesson oil;steak, cubed;paprika;salt;hot water;tomato sauce;sour cream;hot buttered noodles;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sliced', 'onions', ';', 'wesson', 'oil', ';', 'steak', ',', 'cubed', ';', 'paprika', ';', 'salt', ';', 'hot', 'water', ';', 'tomato', 'sauce', ';', 'sour', 'cream', ';', 'hot', 'buttered', 'noodles', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Veal Parmigan,"Combine first 8 ingredients and simmer for 1 hour over medium-low heat. Dip Veal in egg and then in crumbs, mixed with half cup of parmesan. Brown lightly in hot oil. Place in single layer in large baking dish. Pour 2/3 cup of sauce over meat and bake at 350 degrees for 30 minutes. Place a slice of mozzarella on each meat slice. SPrinkle with remaining parmesan. return to oven for about 15 minutes.",3,tbsp,oil,3,cloves,"garlic, minced",1,nan,"onion, chopped",32,ounces,"tomatoes, canned",1 1/2,tsp,salt, 1/2,tsp,pepper,8,ounces,tomato sauce,0.25,tsp,thyme,1,pound,"veal, sliced thinly",1,nan,"egg, bea10",1 1/2,cups,bread crumbs, 1/2,cup,grated parmesan cheese,3,tbsp,oil, 1/2,pound,"mozzarella, sliced thinly", 1/4,cup,parmesan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"oil;garlic, minced;onion, chopped;tomatoes, canned;salt;pepper;tomato sauce;thyme;veal, sliced thinly;egg, bea10;bread crumbs;grated parmesan cheese;oil;mozzarella, sliced thinly;parmesan;nan;nan;nan;nan","['oil', ';', 'garlic', ',', 'minced', ';', 'onion', ',', 'chopped', ';', 'tomatoes', ',', 'canned', ';', 'salt', ';', 'pepper', ';', 'tomato', 'sauce', ';', 'thyme', ';', 'veal', ',', 'sliced', 'thinly', ';', 'egg', ',', 'bea10', ';', 'bread', 'crumbs', ';', 'grated', 'parmesan', 'cheese', ';', 'oil', ';', 'mozzarella', ',', 'sliced', 'thinly', ';', 'parmesan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Teriyaki Steak,"Marinate for at least 1 hour. Grill over hot coals for about 4 minutes on each side for a 1 inch, rare steak. 5 to 6 minutes for medium-rare.", 1/2,cup,soy sauce, 1/2,cup,white wine,2,tbsp,sugar,1 1/2,tsp,ginger,1,clove,"garlic, chopped",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"soy sauce;white wine;sugar;ginger;garlic, chopped;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['soy', 'sauce', ';', 'white', 'wine', ';', 'sugar', ';', 'ginger', ';', 'garlic', ',', 'chopped', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Beef Stroganoff,"Pound salt and flour into the steak. Cut into think strips. Brown onion in oil. Remove brown meat. Add onion and garlic. Simmer covered for 15 minutes. Add soup and mushrooms. Simmer for 1.5 hours, uncovered. Stor in sour cream. Serve over rice or noodles.",1,nan,round steak,1,clove,garlic,2,tbsp,flour,3,tsp,salt, 1/2,tsp,pepper, 1/2,cup,"onion, chopped", 1/4,cup,oil,1,can,mushroom soup, 1/2,pound,"mushrooms, sliced",1,cup,sour cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"round steak;garlic;flour;salt;pepper;onion, chopped;oil;mushroom soup;mushrooms, sliced;sour cream;nan;nan;nan;nan;nan;nan;nan;nan;nan","['round', 'steak', ';', 'garlic', ';', 'flour', ';', 'salt', ';', 'pepper', ';', 'onion', ',', 'chopped', ';', 'oil', ';', 'mushroom', 'soup', ';', 'mushrooms', ',', 'sliced', ';', 'sour', 'cream', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['flour']
Hungry Bear Cheese Cake,nan, 1/4,cup,wheat germ (optional),3,tbsp,sugar, 1/3,cup,"butter, melted",1 3/4,cup,graham cracker crumbs,1,tsp,cinnamon, 1/5,pint,sour cream,1,tsp,vanilla, 1/3,cup,sugar, 1/8,tsp,salt,8,ounces,cream cheese,4,nan,eggs,2,tsp,vanilla,2,tbsp,flour, 1/2,pint,cottage cheese,1,tbsp,lemon juice, 2/3,cup,sugar, 1/4,tsp,salt,nan,nan,nan,nan,nan,nan,asian food,"wheat germ (optional);sugar;butter, melted;graham cracker crumbs;cinnamon;sour cream;vanilla;sugar;salt;cream cheese;eggs;vanilla;flour;cottage cheese;lemon juice;sugar;salt;nan;nan","['wheat', 'germ', '(', 'optional', ')', ';', 'sugar', ';', 'butter', ',', 'melted', ';', 'graham', 'cracker', 'crumbs', ';', 'cinnamon', ';', 'sour', 'cream', ';', 'vanilla', ';', 'sugar', ';', 'salt', ';', 'cream', 'cheese', ';', 'eggs', ';', 'vanilla', ';', 'flour', ';', 'cottage', 'cheese', ';', 'lemon', 'juice', ';', 'sugar', ';', 'salt', ';', 'nan', ';', 'nan']","['graham', 'sugar', 'flour', 'eggs']"
Egg Foo Young,"Combine first 6 ingredients. Fry in oil to form 3 inch omelettes. To make brown gravy, melt butter, add flour combined with sugar and salt. Add hot water and soy sauce. Cook over low heat until thick. Serve gravy over omelettes.", 1/2,cup,"green onions, chopped",1,small,can of shrimp,1,can ,water chestnuts,1,can ,bean sprouts,nan,nan,salt and pepper,6,nan,bea10 eggs,3,tbsp,butter melted,3,tbsp,flour,2,tbsp,sugar, 1/2,tsp,salt,1,cup,water,2,tbsp,soy sauce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"green onions, chopped;can of shrimp;water chestnuts;bean sprouts;salt and pepper;bea10 eggs;butter melted;flour;sugar;salt;water;soy sauce;nan;nan;nan;nan;nan;nan;nan","['green', 'onions', ',', 'chopped', ';', 'can', 'of', 'shrimp', ';', 'water', 'chestnuts', ';', 'bean', 'sprouts', ';', 'salt', 'and', 'pepper', ';', 'bea10', 'eggs', ';', 'butter', 'melted', ';', 'flour', ';', 'sugar', ';', 'salt', ';', 'water', ';', 'soy', 'sauce', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'eggs']"
Egg Roll Filling,nan,16,ounces,shrimp,3,tbsp,oil,2,cups,diced celery, 1/2,cup,green onions, 1/2,pound,bean sprouts,3,cups,"cabbage, finely shredded", 1/2,cup,"water chestnuts, finely chopped", 1/2,cup,"bamboo shoots, finely chopped",2,tbsp,soy sauce,2,tbsp,sherry,2,tsp,salt,3,tsp,water,16,nan,egg roll wrappers,1,nan,"egg, slightly bea10",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"shrimp;oil;diced celery;green onions;bean sprouts;cabbage, finely shredded;water chestnuts, finely chopped;bamboo shoots, finely chopped;soy sauce;sherry;salt;water;egg roll wrappers;egg, slightly bea10;nan;nan;nan;nan;nan","['shrimp', ';', 'oil', ';', 'diced', 'celery', ';', 'green', 'onions', ';', 'bean', 'sprouts', ';', 'cabbage', ',', 'finely', 'shredded', ';', 'water', 'chestnuts', ',', 'finely', 'chopped', ';', 'bamboo', 'shoots', ',', 'finely', 'chopped', ';', 'soy', 'sauce', ';', 'sherry', ';', 'salt', ';', 'water', ';', 'egg', 'roll', 'wrappers', ';', 'egg', ',', 'slightly', 'bea10', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Egg Roll Wrappers,"Beat egg slightly. Add flour, cornstarch, salt and water. Blend until smooth. Heat buttered 7 inch skillet or crepe pad. Add 2 tablespoons pf batter to cover bottom of pan. Brown lightly on bottom side only. Place filling on uncooked side. Roll, seal and fry as directed. 5-7 minutes in deep fat at 375 degrees.",2,nan,eggs,1,cup,flour,2,tbsp,cornstarch, 1/2,tsp,salt,2,cups,water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,eggs;flour;cornstarch;salt;water;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['eggs', ';', 'flour', ';', 'cornstarch', ';', 'salt', ';', 'water', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['flour', 'eggs']"
Pineapple Spareribs,"Cook ribs at 375 degrees until brown. Combine sugar, vinegar, water, and cornstarch in saucepan. Bring to a boil. Pour over browned ribs. Cook for 1 hour or until ribs are 10der. Add pineapple chunks and green pepper slices. Cover and cook for an additional 20 to 30 minutes.", 3/4,cup,sugar, 1/2,cup,vinegar, 3/4,cup,water, 3/4,cup,"pineapple chunks, injuice",2,tsp,cornstarch,nan,nan,green pepper (optional),nan,nan,ribs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"sugar;vinegar;water;pineapple chunks, injuice;cornstarch;green pepper (optional);ribs;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sugar', ';', 'vinegar', ';', 'water', ';', 'pineapple', 'chunks', ',', 'injuice', ';', 'cornstarch', ';', 'green', 'pepper', '(', 'optional', ')', ';', 'ribs', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Pork Fu Man Chow,"Saute onion and celery in oil. Add pork, bean sprouts and all other ingredients except peas and noodles. Simmer for 30 minutes. Add peas and simmer for 30 more minutes. Serve over noodles.",2,tbsp,oil,1,cup,"onion, chopped quite large",1,cup,"celery, cut into large chunks",3 to 4,cups,"cooked pork, cubed",1,can,bean sprouts,1,can,mushroom soup or leftover pork gravy,1,can,"water chestnuts, sliced",4,tbsp,soy sauce,nan,nan,salt and pepper,1,pkg,"pea pods, frozen",1,large can,chinese noodles,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"oil;onion, chopped quite large;celery, cut into large chunks;cooked pork, cubed;bean sprouts;mushroom soup or leftover pork gravy;water chestnuts, sliced;soy sauce;salt and pepper;pea pods, frozen;chinese noodles;nan;nan;nan;nan;nan;nan;nan;nan","['oil', ';', 'onion', ',', 'chopped', 'quite', 'large', ';', 'celery', ',', 'cut', 'into', 'large', 'chunks', ';', 'cooked', 'pork', ',', 'cubed', ';', 'bean', 'sprouts', ';', 'mushroom', 'soup', 'or', 'leftover', 'pork', 'gravy', ';', 'water', 'chestnuts', ',', 'sliced', ';', 'soy', 'sauce', ';', 'salt', 'and', 'pepper', ';', 'pea', 'pods', ',', 'frozen', ';', 'chinese', 'noodles', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Shrimp Pineapple Fried Rice,"Fry cooled rice in oil in a skillet. Add shrimp, onions and pineapple. Add soy sauce to taste.",nan,nan,"precooked rice, cook overnight",nan,nan,shrimp,nan,nan,"green onions, diced",nan,nan,pineapple,nan,nan,soy sauce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,asian food,"precooked rice, cook overnight;shrimp;green onions, diced;pineapple;soy sauce;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['precooked', 'rice', ',', 'cook', 'overnight', ';', 'shrimp', ';', 'green', 'onions', ',', 'diced', ';', 'pineapple', ';', 'soy', 'sauce', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Sweet and Sour Pork,"Cut pork into chunks. Marinade for 30 minutes in dressing made by combining: salt, soy sauce, cornstarch, and water. Drain pork and dip in a batter of coating mix, ice water, and egg. Brown in a few tablespoons of oil in a wok about 3 minutes or until brown and crisp. Remove with a slotted spoon. Add green pepper, onion, and carrot. Stir fry about 5 minutes. Add sweet and sour sauce made by combining: ketchup, brown sugar, white sugar, cinnamon, ginger, and juice of the large lemon. Stir until sauce thickens. Add pineapple chunks and the pork. Ser with hot steamed rice.",1,pound,"pork 10derloin, cut into chunks", 1/2,tsp,salt,1 1/2,tsp,soy sauce,1,tbsp,cornstarch,1,tbsp,cold water, 1/2,cup,chicken coating mix, 1/2,cup,ice water,1,nan,"egg, bea10",nan,nan,oil,1,nan,"green pepper, sliced",1,medium,"onion, chopped",1,nan,"carrot, diagonally sliced",1 1/2,cups,ketchup, 2/3,cup,brown sugar,03-feb,cup,granulated sugar, 1/2,tsp,cinnamon, 1/2,tsp,ginger,1,large,lemon,1,cup,pinapple chunks,asian food,"pork 10derloin, cut into chunks;salt;soy sauce;cornstarch;cold water;chicken coating mix;ice water;egg, bea10;oil;green pepper, sliced;onion, chopped;carrot, diagonally sliced;ketchup;brown sugar;granulated sugar;cinnamon;ginger;lemon;pinapple chunks","['pork', '10derloin', ',', 'cut', 'into', 'chunks', ';', 'salt', ';', 'soy', 'sauce', ';', 'cornstarch', ';', 'cold', 'water', ';', 'chicken', 'coating', 'mix', ';', 'ice', 'water', ';', 'egg', ',', 'bea10', ';', 'oil', ';', 'green', 'pepper', ',', 'sliced', ';', 'onion', ',', 'chopped', ';', 'carrot', ',', 'diagonally', 'sliced', ';', 'ketchup', ';', 'brown', 'sugar', ';', 'granulated', 'sugar', ';', 'cinnamon', ';', 'ginger', ';', 'lemon', ';', 'pinapple', 'chunks']",['sugar']
